timestamp,datetime,open,high,low,close,volume,close_timestamp,close_datetime,quote_volume,trades_count,taker_buy_volume,taker_buy_quote_volume,symbol
1756236600000,2025-08-27 03:30:00,111063.6,111148.5,110767.0,110772.6,154.009,1756237499999,2025-08-27 03:44:59,17087524.1677,3480,37.612,4176437.3066,0
1756237500000,2025-08-27 03:45:00,110772.6,111118.3,110767.0,111058.0,143.452,1756238399999,2025-08-27 03:59:59,15913613.5995,3523,17.321,1923784.0714,0
1756238400000,2025-08-27 04:00:00,111062.1,111201.1,110840.8,111201.1,185.126,1756239299999,2025-08-27 04:14:59,20566706.4285,3818,133.906,14880682.6859,0
1756239300000,2025-08-27 04:15:00,111198.3,111311.1,111084.8,111269.0,143.342,1756240199999,2025-08-27 04:29:59,15948803.5965,3182,115.284,12829179.8008,0
1756240200000,2025-08-27 04:30:00,111267.2,111267.2,111121.4,111139.5,174.153,1756241099999,2025-08-27 04:44:59,19368626.7687,3903,41.674,4635894.623,0
1756241100000,2025-08-27 04:45:00,111139.5,111314.5,111051.7,111258.6,60.703,1756241999999,2025-08-27 04:59:59,6751089.7634,2933,27.495,3057862.2974,0
1756242000000,2025-08-27 05:00:00,111258.6,111288.1,111039.6,111061.0,179.057,1756242899999,2025-08-27 05:14:59,19915749.3696,3186,64.093,7131247.1461,0
1756242900000,2025-08-27 05:15:00,111064.0,111269.0,111048.0,111219.9,208.236,1756243799999,2025-08-27 05:29:59,23157417.8418,2684,153.502,17072844.3348,0
1756243800000,2025-08-27 05:30:00,111220.0,111412.5,111123.0,111270.0,382.533,1756244699999,2025-08-27 05:44:59,42573222.2203,4406,182.639,20329386.1225,0
1756244700000,2025-08-27 05:45:00,111270.0,111566.5,111115.5,111530.3,370.582,1756245599999,2025-08-27 05:59:59,41285120.042,3324,164.624,18341345.2626,0
1756245600000,2025-08-27 06:00:00,111527.2,111861.0,111393.6,111623.2,1001.898,1756246499999,2025-08-27 06:14:59,111855233.9511,3403,801.166,89440819.7725,0
1756246500000,2025-08-27 06:15:00,111813.8,112056.8,111511.0,111597.3,464.96,1756247399999,2025-08-27 06:29:59,51955028.079,2778,172.315,19253203.054,0
